index,true_label,pred_label,correct,confidence,latency_s,error
0,rec.autos,rec.autos,True,1.0,0.3126522909733467,
1,comp.windows.x,comp.graphics,False,0.56,0.4278947910061106,
2,alt.atheism,talk.politics.misc,False,0.35,0.46224195801187307,
3,talk.politics.mideast,talk.politics.mideast,True,1.0,0.5057632090174593,
4,talk.religion.misc,alt.atheism,False,0.64,0.40624666603980586,
5,sci.med,sci.med,True,1.0,0.6066751250182278,
6,soc.religion.christian,soc.religion.christian,True,0.99,0.46123112499481067,
7,soc.religion.christian,soc.religion.christian,True,0.46,0.42539716698229313,
8,comp.windows.x,comp.windows.x,True,1.0,0.46264237503055483,
9,comp.graphics,comp.graphics,True,0.99,0.4052587089827284,
10,comp.os.ms-windows.misc,comp.os.ms-windows.misc,True,1.0,0.5182809589896351,
11,comp.windows.x,comp.windows.x,True,0.98,0.42696508299559355,
12,talk.politics.mideast,talk.politics.mideast,True,1.0,0.41066812502685934,
13,rec.motorcycles,misc.forsale,False,0.44,0.4109217079821974,
14,alt.atheism,alt.atheism,True,0.97,0.44635854195803404,
15,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,False,1.0,0.4765236250241287,
16,comp.sys.mac.hardware,comp.sys.mac.hardware,True,0.96,0.25401333399349824,
17,comp.graphics,sci.electronics,False,0.37,0.28395366604672745,
18,misc.forsale,misc.forsale,True,0.94,0.302584792021662,
19,talk.politics.guns,talk.politics.guns,True,1.0,0.2746811670367606,
20,comp.graphics,comp.graphics,True,0.46,0.2654292919905856,
21,misc.forsale,misc.forsale,True,1.0,0.2777142080012709,
22,talk.politics.mideast,talk.politics.misc,False,0.8,1.2455067499540746,
23,sci.space,sci.space,True,1.0,0.27217270800611004,
24,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,True,0.99,0.3768960840534419,
25,sci.med,sci.med,True,1.0,0.3725942919845693,
26,sci.crypt,sci.electronics,False,0.52,0.26950787496753037,
27,rec.autos,rec.autos,True,0.83,0.2430019160383381,
28,rec.autos,rec.autos,True,1.0,0.3496401670272462,
29,comp.sys.ibm.pc.hardware,misc.forsale,False,0.33,0.8579259170219302,
30,comp.windows.x,comp.windows.x,True,1.0,0.31208262499421835,
31,comp.windows.x,comp.windows.x,True,1.0,0.273097625002265,
32,comp.sys.mac.hardware,comp.sys.mac.hardware,True,1.0,0.29580020799767226,
33,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,True,0.99,0.23745516600320116,
34,sci.space,sci.space,True,1.0,0.8041605830076151,
35,comp.graphics,comp.graphics,True,1.0,1.228326582990121,
36,rec.sport.baseball,rec.sport.baseball,True,1.0,0.379792291962076,
37,comp.sys.mac.hardware,comp.sys.mac.hardware,True,1.0,0.2525862500187941,
38,misc.forsale,comp.sys.mac.hardware,False,0.61,0.2516048329998739,
39,comp.graphics,comp.graphics,True,1.0,1.3650427079992369,
40,talk.politics.mideast,talk.politics.mideast,True,0.9,0.26186495897127315,
41,comp.os.ms-windows.misc,comp.os.ms-windows.misc,True,0.79,0.32056112500140443,
42,rec.motorcycles,rec.motorcycles,True,0.51,0.24685466702794656,
43,comp.graphics,comp.graphics,True,1.0,0.25645487499423325,
44,sci.crypt,talk.politics.misc,False,0.78,0.26689962501404807,
45,comp.graphics,comp.graphics,True,1.0,0.2830552090308629,
46,sci.space,sci.space,True,1.0,0.4572713340166956,
47,comp.sys.ibm.pc.hardware,sci.electronics,False,0.49,0.26092358300229535,
48,sci.crypt,sci.crypt,True,1.0,0.2515671249711886,
49,alt.atheism,sci.crypt,False,1.0,0.2474535420187749,
50,rec.motorcycles,rec.autos,False,0.72,0.3622772500384599,
51,rec.motorcycles,rec.motorcycles,True,0.99,0.28531025000847876,
52,sci.med,sci.med,True,1.0,0.2808888329891488,
53,rec.sport.baseball,rec.sport.baseball,True,1.0,0.2726379999658093,
54,comp.graphics,misc.forsale,False,0.39,0.25946929096244276,
55,comp.os.ms-windows.misc,comp.os.ms-windows.misc,True,0.52,0.27338566700927913,
56,rec.sport.hockey,rec.sport.hockey,True,1.0,0.2941505420021713,
57,talk.politics.mideast,talk.politics.mideast,True,0.81,0.2910463339649141,
58,talk.politics.guns,talk.politics.misc,False,0.56,0.3038552910438739,
59,sci.space,sci.space,True,0.83,0.2351729579968378,
60,rec.motorcycles,sci.electronics,False,0.31,0.28845208400161937,
61,rec.sport.hockey,rec.sport.hockey,True,1.0,0.29719258297700435,
62,talk.politics.mideast,talk.politics.misc,False,0.94,0.34941075003007427,
63,talk.religion.misc,talk.politics.misc,False,0.77,0.3378428340074606,
64,comp.os.ms-windows.misc,comp.os.ms-windows.misc,True,1.0,0.29476783401332796,
65,talk.politics.misc,talk.politics.misc,True,0.81,0.2913048749906011,
66,talk.politics.misc,talk.politics.misc,True,0.84,0.2857642919989303,
67,sci.med,sci.med,True,0.95,0.2899343750323169,
68,alt.atheism,talk.religion.misc,False,0.3,0.292424209008459,
69,rec.sport.baseball,rec.sport.baseball,True,1.0,0.28887404198758304,
70,rec.motorcycles,rec.motorcycles,True,1.0,0.26945508300559595,
71,talk.politics.misc,talk.politics.misc,True,0.31,0.26095845899544656,
72,rec.sport.hockey,rec.sport.hockey,True,1.0,0.2635043750051409,
73,talk.religion.misc,talk.politics.guns,False,0.94,0.30071404203772545,
74,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,True,0.95,0.37734579195966944,
75,rec.autos,rec.autos,True,0.98,0.2956365830032155,
76,talk.politics.misc,talk.politics.misc,True,0.48,0.32927516696508974,
77,rec.autos,rec.autos,True,1.0,0.31063399999402463,
78,talk.politics.misc,talk.politics.misc,True,0.36,0.30306591698899865,
79,rec.sport.baseball,rec.sport.baseball,True,1.0,1.1116932090371847,
