method,label,precision,recall,f1,support
tfidf,alt.atheism,0.5507246376811594,0.47648902821316613,0.5109243697478991,319
tfidf,comp.graphics,0.6374407582938388,0.6915167095115681,0.6633785450061652,389
tfidf,comp.os.ms-windows.misc,0.6443298969072165,0.6345177664974619,0.639386189258312,394
tfidf,comp.sys.ibm.pc.hardware,0.6437659033078881,0.6454081632653061,0.6445859872611465,392
tfidf,comp.sys.mac.hardware,0.739010989010989,0.6987012987012987,0.7182910547396528,385
tfidf,comp.windows.x,0.8363095238095238,0.7113924050632912,0.7688098495212038,395
tfidf,misc.forsale,0.7740384615384616,0.8256410256410256,0.7990074441687345,390
tfidf,rec.autos,0.7629427792915532,0.7070707070707071,0.7339449541284404,396
tfidf,rec.motorcycles,0.7893333333333333,0.7437185929648241,0.7658473479948253,398
tfidf,rec.sport.baseball,0.5573770491803278,0.8564231738035264,0.6752730883813307,397
tfidf,rec.sport.hockey,0.8609112709832134,0.899749373433584,0.8799019607843137,399
tfidf,sci.crypt,0.8197674418604651,0.7121212121212122,0.7621621621621621,396
tfidf,sci.electronics,0.631578947368421,0.5801526717557252,0.6047745358090185,393
tfidf,sci.med,0.7814070351758794,0.7853535353535354,0.783375314861461,396
tfidf,sci.space,0.720873786407767,0.7538071065989848,0.7369727047146402,394
tfidf,soc.religion.christian,0.6407766990291263,0.8291457286432161,0.7228915662650602,398
tfidf,talk.politics.guns,0.5901639344262295,0.6923076923076923,0.6371681415929203,364
tfidf,talk.politics.mideast,0.8130311614730878,0.7632978723404256,0.7873799725651578,376
tfidf,talk.politics.misc,0.5982905982905983,0.45161290322580644,0.5147058823529411,310
tfidf,talk.religion.misc,0.5080645161290323,0.250996015936255,0.336,251
embed:all-MiniLM-L6-v2,alt.atheism,0.4592833876221498,0.44200626959247646,0.4504792332268371,319
embed:all-MiniLM-L6-v2,comp.graphics,0.6433734939759036,0.6863753213367609,0.664179104477612,389
embed:all-MiniLM-L6-v2,comp.os.ms-windows.misc,0.6694915254237288,0.6015228426395939,0.6336898395721925,394
embed:all-MiniLM-L6-v2,comp.sys.ibm.pc.hardware,0.5984848484848485,0.6045918367346939,0.6015228426395939,392
embed:all-MiniLM-L6-v2,comp.sys.mac.hardware,0.625,0.6233766233766234,0.6241872561768531,385
embed:all-MiniLM-L6-v2,comp.windows.x,0.7922437673130194,0.7240506329113924,0.7566137566137566,395
embed:all-MiniLM-L6-v2,misc.forsale,0.7513661202185792,0.7051282051282052,0.7275132275132276,390
embed:all-MiniLM-L6-v2,rec.autos,0.5125,0.7247474747474747,0.600418410041841,396
embed:all-MiniLM-L6-v2,rec.motorcycles,0.6967418546365914,0.6984924623115578,0.6976160602258469,398
embed:all-MiniLM-L6-v2,rec.sport.baseball,0.8815426997245179,0.8060453400503779,0.8421052631578947,397
embed:all-MiniLM-L6-v2,rec.sport.hockey,0.8602941176470589,0.8796992481203008,0.8698884758364313,399
